1,"Halo yayan, Terima kasih atas pertanyaannya",F1
2,"Berdasarkan riwayat keluhan istri Anda yang sudah Anda sampaikan, yaitu muntah  -  muntah dan diare lebih dari 5 - 10x, terdapat kemungkinan kondisi yang dialami oleh istri Anda, salah satunya adalah keracunan makanan, infeksi saluran cerna, adanya malapsorbsi  /  intoleransi makanan yang ditandai dengan gejala  -  gejala yang Anda sebutkan tersebut",F4
3,Gejala muntah dan diare pada dasarnya merupakan respon tubuh yang wajar sebagaimana tubuh berusaha mengeluarkan toksin  /  racun dari makanan  /  minuman yang terkontaminasi yang dikonsumsi sebelumnya,F3
4,Kondisi ini dapat membaik dengan sendirinya dalam hitungan beberapa hari tanpa perlu pengobatan khusus dari dokter,F3
5,"Pantau terus gejala yang muncul, kembalikan cairan tubuh yang keluar, dan monitor tanda  -  tanda dehidrasi seperti lemas, mata cowong, tidak buang air kecil lebih dari 6 jam atau urin berwarna pekat, mulut kering dan rasa sangat haus, dan adanya tanda  -  tanda kebingungan",F5
6,"Selain itu, berikut anjuran yang dapat dilakukan untuk mengurangi keluhan: Menghindari makan terlebih dahulu selama beberapa jam",F5
7,"Minum air, sup, atau minuman elektrolit untuk membantu mengembalikan cairan yang keluar dari tubuh istri Anda",F5
8,"Ketika makan nanti, makan sedikit  -  sedikit dengan makanan yang tawar seperti roti  -  rotian, nasi  /  bubur, biskuit",F5
9,Istirahat yang cukup,F5
10,"Menghindari susu dan produk susu, kopi, minuman bersoda, dan makanan asam  /  pedas  /  berlemak terlebih dahulu",F5
11,"Apabila gejala tidak membaik dalam waktu 3 - 5 hari, masih terus muntah atau diare dan terdapat darah di dalamnya, demam, lemas, langsung hubungi petugas fasilitas layanan kesehatan terdekat",F5
12,Semoga informasi ini dapat membantu dan semoga lekas sembuh,F1
13,Salam,F1
14,Halo,F1
15,Terima kasih atas pertanyaan yang disampaikan ke Alodokter,F1
16,Kami dapat memahami kekhawatiran yang Anda rasakan,F1
17,"Siklus menstruasi diawali oleh penglepasan sel telur dari indung telur ke rahim, yang diikuti oleh penebalan dinding rahim untuk persiapan menempelnya hasil fertilisasi  /  pembuahan sel telur oleh sperma",F3
18,"Bila sel telur tidak dibuahi oleh sperma, dinding rahim akan meluruh sehingga keluar melalui vagina dalam bentuk darah serta sel  -  sel yang rusak",F3
19,"Siklus menstruasi biasanya berlangsung setiap 21 - 35 hari, dengan haid yang berlangsung selama 2 - 8 hari, dan volume darah haid berkisar dari 20 - 60 mL (setara dengan 1 - 6 pembalut sehari)",F3
20,Tidak menutup kemungkinan bahwa gejala ketidakteraturan menstruasi yang Anda alami merupakan bentuk gangguan haid,F4
21,"Ada beberapa kemungkinan bentuk gangguan haid, yang tersering antara lain: Metroragia, yaitu perdarahan haid yang interval antarhaidnya tak teratur",F3
22,"Menometroragia, yaitu peningkatan volume  /  durasi perdarahan haid yang disertai interval antarhaid yang tidak teratur",F3
23,"Hipermenorea /  menoragia, yaitu peningkatan volume perdarahan haid (lebih dari 80 mL darah  /  hari) dan  /  atau memanjangnya durasi haid (lebih dari 7 hari), tetapi dengan interval antarhaid yang tetap normal",F3
24,"Ada banyak kemungkinan penyebab gangguan haid, meliputi: Masalah pada organ reproduksi (rahim, leher rahim, saluran  /  tuba falopi, indung telur), termasuk pula sindrom polikistik ovarium",F3
25,"Faktor  -  faktor lain di luar sistem organ reproduksi, meliputi: gangguan hormonal, efek samping obat, gangguan pembekuan darah, stres, episode depresi)",F3
26,"Supaya kondisi Anda dapat dievaluasi dan ditangani secara tepat, kami menyarankan Anda untuk memeriksakan diri secara langsung ke dokter spesialis kebidanan dan kandungan",F5 
27,"Selain anamnesis dan pemeriksaan fisis, dokter mungkin menyarankan pemeriksaan penunjang bila ditemukan indikasi, misalnya: ultrasonografi (USG) kandungan, pemeriksaan darah, atau CT  -  scan",F5 
28,"Untuk membantu redakan keluhan, Anda disarankan untuk melakukan langkah  -  langkah sederhana berikut ini: Istirahat yang cukup",F5 
29,"Jaga berat badan dalam rentang normal, Makan makanan bergizi seimbang secara teratur",F5 
30,Rutin melakukan latihan fisik atau olahraga,F5 
31,Minum air putih paling tidak 8 gelas sehari Manajemen stres dengan baik,F5 
